UF,1.0,2.0
AC,45,311
AL,59,365
AM,97,399
AP,43,199
BA,154,613
CE,184,587
DF,96,598
ES,143,858
GO,138,635
MA,286,743
MG,228,1108
MS,196,758
MT,168,580
PA,164,502
PB,173,550
PE,110,660
PI,181,524
PR,181,989
RJ,111,806
RN,117,505
RO,108,469
RR,127,429
RS,156,1098
SC,219,1134
SE,147,452
SP,260,1586
TO,154,385
