UF,1.0,2.0,3.0
AC,471,38,87
AL,672,81,113
AM,728,90,162
AP,424,44,83
BA,1320,120,239
CE,945,104,249
DF,874,52,98
ES,1376,82,138
GO,910,74,121
MA,1281,140,286
MG,1890,117,257
MS,1161,74,92
MT,803,89,111
PA,917,117,219
PB,835,69,191
PE,1105,113,225
PI,786,70,163
PR,1502,66,103
RJ,1746,90,173
RN,727,76,203
RO,586,46,135
RR,614,52,137
RS,1810,63,77
SC,1648,57,87
SE,797,70,210
SP,2415,141,253
TO,605,33,88
