UF,1.0,2.0,3.0,4.0,5.0
AC,549,33,8,2,4
AL,810,41,12,2,1
AM,906,55,14,3,2
AP,506,33,9,3,0
BA,1562,86,17,5,9
CE,1215,65,10,2,6
DF,974,42,5,1,2
ES,1548,41,6,1,0
GO,1069,29,2,2,3
MA,1540,118,42,1,6
MG,2174,62,14,4,10
MS,1291,27,9,0,0
MT,967,26,8,2,0
PA,1129,86,29,2,7
PB,1016,61,15,1,2
PE,1351,66,12,7,7
PI,930,69,13,4,3
PR,1620,38,7,1,5
RJ,1926,61,13,4,5
RN,936,49,15,2,4
RO,725,31,10,0,1
RR,751,38,12,1,1
RS,1904,36,7,2,1
SC,1746,39,3,1,3
SE,1007,60,5,2,3
SP,2707,90,5,3,4
TO,677,35,9,1,4
